,URI,TrackName,ArtistURI,ArtistName,ArtistPopularity,ArtistGenres,Album,TrackPopularity,Explicit,ReleaseDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
39,spotify:track:4Q1p1yb2ri1t920HOxuwqZ,If I Could,spotify:artist:4NIPR04MgEH0K5uv8Gn7ek,Brynn Cartelli,39,"['alt z', 'asbury park indie', 'australian talent show', 'deep talent show']",If I Could,44,False,2021-04-30,0.687,0.463,1,-6.635,1,0.0368,0.039,0.0,0.131,0.289,91.031,audio_features,4Q1p1yb2ri1t920HOxuwqZ,spotify:track:4Q1p1yb2ri1t920HOxuwqZ,https://api.spotify.com/v1/tracks/4Q1p1yb2ri1t920HOxuwqZ,https://api.spotify.com/v1/audio-analysis/4Q1p1yb2ri1t920HOxuwqZ,198187,4
40,spotify:track:7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,spotify:artist:26cMerAxjx9GedFt0lMDjm,Bella Poarch,63,['modern alternative pop'],Build a Bitch,73,True,2021-05-14,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,audio_features,7BoobGhD4x5K96Me0hqC8Q,spotify:track:7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/tracks/7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/audio-analysis/7BoobGhD4x5K96Me0hqC8Q,122773,4
41,spotify:track:2RKIETMdgcduhnArIwlLsB,Ashes,spotify:artist:1JhiIIXT9DWqEU3BYFZwGA,MOTHICA,55,"['alt z', 'vapor soul']",Ashes,0,False,2018-11-09,0.524,0.413,0,-8.84,1,0.0284,0.437,0.0,0.124,0.324,82.052,audio_features,2RKIETMdgcduhnArIwlLsB,spotify:track:2RKIETMdgcduhnArIwlLsB,https://api.spotify.com/v1/tracks/2RKIETMdgcduhnArIwlLsB,https://api.spotify.com/v1/audio-analysis/2RKIETMdgcduhnArIwlLsB,202141,4
42,spotify:track:47lhHrP7qgOAFeTuSG7I5x,Cheap Tricks,spotify:artist:1JhiIIXT9DWqEU3BYFZwGA,MOTHICA,55,"['alt z', 'vapor soul']",Ashes,0,False,2018-11-09,0.36,0.588,6,-6.025,1,0.0559,0.225,0.0,0.131,0.435,179.646,audio_features,47lhHrP7qgOAFeTuSG7I5x,spotify:track:47lhHrP7qgOAFeTuSG7I5x,https://api.spotify.com/v1/tracks/47lhHrP7qgOAFeTuSG7I5x,https://api.spotify.com/v1/audio-analysis/47lhHrP7qgOAFeTuSG7I5x,187049,3
43,spotify:track:3jS7bB0oXVOwGFZn3aE5NV,You Oughta Know - 2015 Remaster,spotify:artist:6ogn9necmbUdCppmNnGOdi,Alanis Morissette,66,"['canadian pop', 'canadian singer-songwriter', 'lilith', 'neo mellow', 'pop rock', 'singer-songwriter']",Jagged Little Pill (2015 Remaster),68,True,1995,0.665,0.834,4,-7.737,1,0.0576,0.21,0.0,0.452,0.411,105.292,audio_features,3jS7bB0oXVOwGFZn3aE5NV,spotify:track:3jS7bB0oXVOwGFZn3aE5NV,https://api.spotify.com/v1/tracks/3jS7bB0oXVOwGFZn3aE5NV,https://api.spotify.com/v1/audio-analysis/3jS7bB0oXVOwGFZn3aE5NV,249493,4
44,spotify:track:4xSQXSMlKCUKNxy7oVq46H,"internet drama part 5 (15,000 pound horse)",spotify:artist:6lt3CXKfhLXjYl2VFD6vN4,Lubalin,37,[],internet drama,0,True,2020-12-22,0.682,0.341,9,-11.692,1,0.0333,0.69,0.0,0.413,0.626,90.58,audio_features,4xSQXSMlKCUKNxy7oVq46H,spotify:track:4xSQXSMlKCUKNxy7oVq46H,https://api.spotify.com/v1/tracks/4xSQXSMlKCUKNxy7oVq46H,https://api.spotify.com/v1/audio-analysis/4xSQXSMlKCUKNxy7oVq46H,62211,4
45,spotify:track:35dC4kJboJ8iOmfyUur7it,internet drama part 3 (i just need butter),spotify:artist:6lt3CXKfhLXjYl2VFD6vN4,Lubalin,37,[],internet drama,0,False,2020-12-22,0.673,0.305,10,-8.465,0,0.0325,0.447,0.0,0.082,0.475,106.038,audio_features,35dC4kJboJ8iOmfyUur7it,spotify:track:35dC4kJboJ8iOmfyUur7it,https://api.spotify.com/v1/tracks/35dC4kJboJ8iOmfyUur7it,https://api.spotify.com/v1/audio-analysis/35dC4kJboJ8iOmfyUur7it,51791,4
46,spotify:track:1xBQDoxqFyloelbnfju8na,u love u (with Tate McRae),spotify:artist:2cFrymmkijnjDg9SS92EPM,blackbear,74,['pop'],u love u (with Tate McRae),0,True,2021-06-04,0.544,0.704,4,-5.678,0,0.0435,0.0156,0.0,0.164,0.265,80.029,audio_features,1xBQDoxqFyloelbnfju8na,spotify:track:1xBQDoxqFyloelbnfju8na,https://api.spotify.com/v1/tracks/1xBQDoxqFyloelbnfju8na,https://api.spotify.com/v1/audio-analysis/1xBQDoxqFyloelbnfju8na,189062,4
47,spotify:track:3tAsY2NU5gRPdYExMhhyvT,Love You in My Mind,spotify:artist:4NIPR04MgEH0K5uv8Gn7ek,Brynn Cartelli,39,"['alt z', 'asbury park indie', 'australian talent show', 'deep talent show']",Based on a True Story,44,False,2021-05-28,0.489,0.349,4,-7.353,1,0.0394,0.426,0.0,0.0857,0.116,110.01,audio_features,3tAsY2NU5gRPdYExMhhyvT,spotify:track:3tAsY2NU5gRPdYExMhhyvT,https://api.spotify.com/v1/tracks/3tAsY2NU5gRPdYExMhhyvT,https://api.spotify.com/v1/audio-analysis/3tAsY2NU5gRPdYExMhhyvT,224905,3
48,spotify:track:5uhyZSW4rYurgR1ZgAj0te,Falling Up - Piano Acoustic,spotify:artist:3QSQFmccmX81fWCUSPTS7y,Dean Lewis,74,"['australian pop', 'pop']",Falling Up (Acoustics),28,False,2021-06-04,0.68,0.317,2,-7.804,1,0.0481,0.894,0.0,0.323,0.348,102.269,audio_features,5uhyZSW4rYurgR1ZgAj0te,spotify:track:5uhyZSW4rYurgR1ZgAj0te,https://api.spotify.com/v1/tracks/5uhyZSW4rYurgR1ZgAj0te,https://api.spotify.com/v1/audio-analysis/5uhyZSW4rYurgR1ZgAj0te,198955,4
